Name,Position,From,To,Location,Parish district
Michael Keith Jackson,Infrastructure Minister,01/01/2011,17/11/2011,Island-wide,
Michael Keith Jackson,Infrastructure Minister,01/01/2010,31/12/2010,Island-wide,
Michael Keith Jackson,Infrastructure Minister,01/01/2009,31/12/2009,Island-wide,
Michael Keith Jackson,Infrastructure Minister,11/12/2008,31/12/2008,Island-wide,
Kevin Charles Lewis,Infrastructure Minister,01/01/2014,15/10/2014,Island-wide,
Kevin Charles Lewis,Infrastructure Minister,01/01/2013,31/12/2013,Island-wide,
Kevin Charles Lewis,Infrastructure Minister,01/01/2012,31/12/2012,Island-wide,
Kevin Charles Lewis,Infrastructure Minister,17/11/2011,31/12/2011,Island-wide,
Edward James Noel,Infrastructure Minister,01/01/2016,31/12/2016,Island-wide,
Edward James Noel,Infrastructure Minister,01/01/2015,31/12/2015,Island-wide,
Edward James Noel,Infrastructure Minister,13/11/2014,31/12/2014,Island-wide,
"General Sir John McColl, KCB, CBE, DSO",Lieutenant-Governor,01/01/2016,30/11/2016,Island-wide,
"General Sir John McColl, KCB, CBE, DSO",Lieutenant-Governor,01/01/2015,31/12/2015,Island-wide,
"General Sir John McColl, KCB, CBE, DSO",Lieutenant-Governor,01/01/2014,31/12/2014,Island-wide,
"General Sir John McColl, KCB, CBE, DSO",Lieutenant-Governor,01/01/2013,31/12/2013,Island-wide,
"General Sir John McColl, KCB, CBE, DSO",Lieutenant-Governor,01/01/2012,31/12/2012,Island-wide,
"General Sir John McColl, KCB, CBE, DSO",Lieutenant-Governor,26/09/2011,31/12/2011,Island-wide,
"Sir Andrew Ridgeway, KBE, CB",Lieutenant-Governor,01/01/2011,30/06/2011,Island-wide,
"Sir Andrew Ridgeway, KBE, CB",Lieutenant-Governor,01/01/2010,31/12/2010,Island-wide,
"Sir Andrew Ridgeway, KBE, CB",Lieutenant-Governor,01/01/2009,31/12/2009,Island-wide,
"Sir Andrew Ridgeway, KBE, CB",Lieutenant-Governor,01/01/2008,31/12/2008,Island-wide,
"Sir Andrew Ridgeway, KBE, CB",Lieutenant-Governor,01/01/2007,31/12/2007,Island-wide,
"Sir Andrew Ridgeway, KBE, CB",Lieutenant-Governor,15/06/2006,31/12/2006,Island-wide,
"Air Chief Marshal Sir John Anthony Cheshire, KBE, CB",Lieutenant-Governor,01/01/2006,07/04/2006,Island-wide,
"Air Chief Marshal Sir John Anthony Cheshire, KBE, CB",Lieutenant-Governor,01/01/2005,31/12/2005,Island-wide,
Leonard Norman,Privileges and Procedures Committee Chairman,01/01/2016,31/12/2016,Island-wide,
Leonard Norman,Privileges and Procedures Committee Chairman,01/01/2015,31/12/2015,Island-wide,
Leonard Norman,Privileges and Procedures Committee Chairman,13/11/2014,31/12/2014,Island-wide,
Jeremy Martin Maçon,Privileges and Procedures Committee Chairman,01/01/2014,13/11/2014,Island-wide,
Jeremy Martin Maçon,Privileges and Procedures Committee Chairman,18/07/2013,31/12/2013,Island-wide,
Alan Simon Crowcroft,Privileges and Procedures Committee Chairman,01/01/2013,16/07/2013,Island-wide,
Alan Simon Crowcroft,Privileges and Procedures Committee Chairman,01/01/2012,31/12/2012,Island-wide,
Alan Simon Crowcroft,Privileges and Procedures Committee Chairman,23/11/2011,31/12/2011,Island-wide,
Juliette Gallichan,Privileges and Procedures Committee Chairman,01/01/2011,23/11/2011,Island-wide,
Juliette Gallichan,Privileges and Procedures Committee Chairman,01/01/2010,31/12/2010,Island-wide,
Juliette Gallichan,Privileges and Procedures Committee Chairman,01/01/2009,31/12/2009,Island-wide,
Juliette Gallichan,Privileges and Procedures Committee Chairman,12/12/2008,31/12/2008,Island-wide,
Derek Frederick Gray,Privileges and Procedures Committee Chairman,01/01/2008,12/12/2008,Island-wide,
Derek Frederick Gray,Privileges and Procedures Committee Chairman,01/01/2007,31/12/2007,Island-wide,
Derek Frederick Gray,Privileges and Procedures Committee Chairman,08/12/2006,31/12/2006,Island-wide,
Roy George Le Hérissier,Privileges and Procedures Committee Chairman,01/01/2005,01/12/2005,Island-wide,
Andrew David Lewis,Public Accounts Committee Chairman,01/01/2016,31/12/2016,Island-wide,
Andrew David Lewis,Public Accounts Committee Chairman,01/01/2015,31/12/2015,Island-wide,
Andrew David Lewis,Public Accounts Committee Chairman,11/11/2014,31/12/2014,Island-wide,
Tracey Anne Vallois,Public Accounts Committee Chairman,01/01/2014,11/11/2014,Island-wide,
Tracey Anne Vallois,Public Accounts Committee Chairman,01/01/2013,31/12/2013,Island-wide,
Tracey Anne Vallois,Public Accounts Committee Chairman,01/01/2012,31/12/2012,Island-wide,
Tracey Anne Vallois,Public Accounts Committee Chairman,22/11/2011,31/12/2011,Island-wide,
Ben Edward Shenton,Public Accounts Committee Chairman,01/01/2011,22/11/2011,Island-wide,
Ben Edward Shenton,Public Accounts Committee Chairman,01/01/2010,31/12/2010,Island-wide,
Ben Edward Shenton,Public Accounts Committee Chairman,01/01/2009,31/12/2009,Island-wide,
Ben Edward Shenton,Public Accounts Committee Chairman,12/12/2008,31/12/2008,Island-wide,
Sarah Craig Ferguson,Public Accounts Committee Chairman,01/01/2008,12/12/2008,Island-wide,
Sarah Craig Ferguson,Public Accounts Committee Chairman,01/01/2007,31/12/2007,Island-wide,
Sarah Craig Ferguson,Public Accounts Committee Chairman,01/01/2006,31/12/2006,Island-wide,
Sarah Craig Ferguson,Public Accounts Committee Chairman,08/12/2005,31/12/2005,Island-wide,
Sir Philip Martin Bailhache,Senator,01/01/2016,31/12/2016,Island-wide,
Sir Philip Martin Bailhache,Senator,01/01/2015,31/12/2015,Island-wide,
Sir Philip Martin Bailhache,Senator,01/01/2014,31/12/2014,Island-wide,
Sir Philip Martin Bailhache,Senator,01/01/2013,31/12/2013,Island-wide,
Sir Philip Martin Bailhache,Senator,01/01/2012,31/12/2012,Island-wide,
Sir Philip Martin Bailhache,Senator,14/11/2011,31/12/2011,Island-wide,
Alan Breckon,Senator,01/01/2014,03/11/2014,Island-wide,
Alan Breckon,Senator,01/01/2013,31/12/2013,Island-wide,
Alan Breckon,Senator,01/01/2012,31/12/2012,Island-wide,
Alan Breckon,Senator,01/01/2011,31/12/2011,Island-wide,
Alan Breckon,Senator,01/01/2010,31/12/2010,Island-wide,
Alan Breckon,Senator,01/01/2009,31/12/2009,Island-wide,
Alan Breckon,Senator,08/12/2008,31/12/2008,Island-wide,
Zoe Ann Cameron,Senator,01/01/2016,12/07/2016,Island-wide,
Zoe Ann Cameron,Senator,01/01/2015,31/12/2015,Island-wide,
Frederick Ellyer Cohen,Senator,01/01/2011,14/11/2011,Island-wide,
Frederick Ellyer Cohen,Senator,01/01/2010,31/12/2010,Island-wide,
Frederick Ellyer Cohen,Senator,01/01/2009,31/12/2009,Island-wide,
Frederick Ellyer Cohen,Senator,01/01/2008,31/12/2008,Island-wide,
Frederick Ellyer Cohen,Senator,01/01/2007,31/12/2007,Island-wide,
Frederick Ellyer Cohen,Senator,01/01/2006,31/12/2006,Island-wide,
Frederick Ellyer Cohen,Senator,05/12/2005,31/12/2005,Island-wide,
Lyndon John Farnham,Senator,01/01/2016,31/12/2016,Island-wide,
Lyndon John Farnham,Senator,01/01/2015,31/12/2015,Island-wide,
Lyndon John Farnham,Senator,01/01/2014,31/12/2014,Island-wide,
Lyndon John Farnham,Senator,01/01/2013,31/12/2013,Island-wide,
Lyndon John Farnham,Senator,01/01/2012,31/12/2012,Island-wide,
Lyndon John Farnham,Senator,14/11/2011,31/12/2011,Island-wide,
Sarah Craig Ferguson,Senator,07/09/2016,31/12/2016,Island-wide,
Sarah Craig Ferguson,Senator,01/01/2014,03/11/2014,Island-wide,
Sarah Craig Ferguson,Senator,01/01/2013,31/12/2013,Island-wide,
Sarah Craig Ferguson,Senator,01/01/2012,31/12/2012,Island-wide,
Sarah Craig Ferguson,Senator,01/01/2011,31/12/2011,Island-wide,
Sarah Craig Ferguson,Senator,01/01/2010,31/12/2010,Island-wide,
Sarah Craig Ferguson,Senator,01/01/2009,31/12/2009,Island-wide,
Sarah Craig Ferguson,Senator,08/12/2008,31/12/2008,Island-wide,
Ian Joseph Gorst,Senator,01/01/2016,31/12/2016,Island-wide,
Ian Joseph Gorst,Senator,01/01/2015,31/12/2015,Island-wide,
Ian Joseph Gorst,Senator,01/01/2014,31/12/2014,Island-wide,
Ian Joseph Gorst,Senator,01/01/2013,31/12/2013,Island-wide,
Ian Joseph Gorst,Senator,01/01/2012,31/12/2012,Island-wide,
Ian Joseph Gorst,Senator,14/11/2011,31/12/2011,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Senator,01/01/2016,31/12/2016,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Senator,01/01/2015,31/12/2015,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Senator,03/11/2014,31/12/2014,Island-wide,
Wendy Kinnard,Senator,01/01/2008,08/12/2008,Island-wide,
Wendy Kinnard,Senator,01/01/2007,31/12/2007,Island-wide,
Wendy Kinnard,Senator,01/01/2006,31/12/2006,Island-wide,
Wendy Kinnard,Senator,01/01/2005,31/12/2005,Island-wide,
Paul Vincent Francis Le Claire,Senator,01/01/2005,05/12/2005,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Senator,01/01/2014,03/11/2014,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Senator,01/01/2013,31/12/2013,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Senator,01/01/2012,31/12/2012,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Senator,01/01/2011,31/12/2011,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Senator,18/06/2010,31/12/2010,Island-wide,
Terence John Le Main ,Senator,01/01/2011,14/11/2011,Island-wide,
Terence John Le Main ,Senator,01/01/2010,31/12/2010,Island-wide,
Terence John Le Main ,Senator,01/01/2009,31/12/2009,Island-wide,
Terence John Le Main ,Senator,01/01/2008,31/12/2008,Island-wide,
Terence John Le Main ,Senator,01/01/2007,31/12/2007,Island-wide,
Terence John Le Main ,Senator,01/01/2006,31/12/2006,Island-wide,
Jean Amy Le Maistre,Senator,01/01/2005,05/12/2005,Island-wide,
Bryan Ian Le Marquand,Senator,01/01/2014,03/11/2014,Island-wide,
Bryan Ian Le Marquand,Senator,01/01/2013,31/12/2013,Island-wide,
Bryan Ian Le Marquand,Senator,01/01/2012,31/12/2012,Island-wide,
Bryan Ian Le Marquand,Senator,01/01/2011,31/12/2011,Island-wide,
Bryan Ian Le Marquand,Senator,01/01/2010,31/12/2010,Island-wide,
Bryan Ian Le Marquand,Senator,01/01/2009,31/12/2009,Island-wide,
Bryan Ian Le Marquand,Senator,08/12/2008,31/12/2008,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2011,14/11/2011,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2010,31/12/2010,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2009,31/12/2009,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2008,31/12/2008,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2007,31/12/2007,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2006,31/12/2006,Island-wide,
Terence Augustine Le Sueur,Senator,01/01/2005,31/12/2005,Island-wide,
Leonard Norman,Senator,01/01/2008,08/12/2008,Island-wide,
Leonard Norman,Senator,01/01/2007,31/12/2007,Island-wide,
Leonard Norman,Senator,01/01/2006,31/12/2006,Island-wide,
Leonard Norman,Senator,01/01/2005,31/12/2005,Island-wide,
Alan John Henry Maclean,Senator,01/01/2016,31/12/2016,Island-wide,
Alan John Henry Maclean,Senator,01/01/2015,31/12/2015,Island-wide,
Alan John Henry Maclean,Senator,01/01/2014,31/12/2014,Island-wide,
Alan John Henry Maclean,Senator,01/01/2013,31/12/2013,Island-wide,
Alan John Henry Maclean,Senator,01/01/2012,31/12/2012,Island-wide,
Alan John Henry Maclean,Senator,01/01/2011,31/12/2011,Island-wide,
Alan John Henry Maclean,Senator,01/01/2010,31/12/2010,Island-wide,
Alan John Henry Maclean,Senator,01/01/2009,31/12/2009,Island-wide,
Alan John Henry Maclean,Senator,08/12/2008,31/12/2008,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2016,31/12/2016,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2015,31/12/2015,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2014,31/12/2014,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2013,31/12/2013,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2012,31/12/2012,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2011,31/12/2011,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2010,31/12/2010,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2009,31/12/2009,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2008,31/12/2008,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2007,31/12/2007,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2006,31/12/2006,Island-wide,
Philip Francis Cyril Ozouf,Senator,01/01/2005,31/12/2005,Island-wide,
James Leslie Perchard,Senator,01/01/2011,14/11/2011,Island-wide,
James Leslie Perchard,Senator,01/01/2010,31/12/2010,Island-wide,
James Leslie Perchard,Senator,01/01/2009,31/12/2009,Island-wide,
James Leslie Perchard,Senator,01/01/2008,31/12/2008,Island-wide,
James Leslie Perchard,Senator,01/01/2007,31/12/2007,Island-wide,
James Leslie Perchard,Senator,01/01/2006,31/12/2006,Island-wide,
James Leslie Perchard,Senator,05/12/2005,31/12/2005,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2016,31/12/2016,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2015,31/12/2015,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2014,31/12/2014,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2013,31/12/2013,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2012,31/12/2012,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2011,31/12/2011,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2010,31/12/2010,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2009,31/12/2009,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2008,31/12/2008,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2007,31/12/2007,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2006,31/12/2006,Island-wide,
"Paul Francis Routier, M.B.E.",Senator,01/01/2005,31/12/2005,Island-wide,
Ben Edward Shenton,Senator,01/01/2011,14/11/2011,Island-wide,
Ben Edward Shenton,Senator,01/01/2010,31/12/2010,Island-wide,
Ben Edward Shenton,Senator,01/01/2009,31/12/2009,Island-wide,
Ben Edward Shenton,Senator,01/01/2008,31/12/2008,Island-wide,
Ben Edward Shenton,Senator,01/01/2007,31/12/2007,Island-wide,
Ben Edward Shenton,Senator,01/01/2006,31/12/2006,Island-wide,
Ben Edward Shenton,Senator,05/12/2005,31/12/2005,Island-wide,
"Richard Joseph Shenton, O.B.E. ",Senator,01/01/2005,05/12/2005,Island-wide,
Stuart Syvret,Senator,01/01/2010,18/06/2010,Island-wide,
Stuart Syvret,Senator,01/01/2009,31/12/2009,Island-wide,
Stuart Syvret,Senator,01/01/2008,31/12/2008,Island-wide,
Stuart Syvret,Senator,01/01/2007,31/12/2007,Island-wide,
Stuart Syvret,Senator,01/01/2006,31/12/2006,Island-wide,
Stuart Syvret,Senator,01/01/2005,31/12/2005,Island-wide,
Edward Philip Vibert,Senator,01/01/2005,31/12/2005,Island-wide,
Michael Edward Vibert,Senator,01/01/2008,08/12/2008,Island-wide,
Michael Edward Vibert,Senator,01/01/2007,31/12/2007,Island-wide,
Michael Edward Vibert,Senator,01/01/2006,31/12/2006,Island-wide,
Michael Edward Vibert,Senator,01/01/2005,31/12/2005,Island-wide,
Frank Harrison Walker,Senator,01/01/2008,08/12/2008,Island-wide,
Frank Harrison Walker,Senator,01/01/2007,31/12/2007,Island-wide,
Frank Harrison Walker,Senator,01/01/2006,31/12/2006,Island-wide,
Frank Harrison Walker,Senator,01/01/2005,31/12/2005,Island-wide,
Ian Joseph Gorst,Social Security Minister,01/01/2011,17/11/2011,Island-wide,
Ian Joseph Gorst,Social Security Minister,01/01/2010,31/12/2010,Island-wide,
Ian Joseph Gorst,Social Security Minister,01/01/2009,31/12/2009,Island-wide,
Ian Joseph Gorst,Social Security Minister,11/12/2008,31/12/2008,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Social Security Minister,01/01/2014,13/11/2014,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Social Security Minister,01/01/2013,31/12/2013,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Social Security Minister,01/01/2012,31/12/2012,Island-wide,
"Francis du Heaume Le Gresley, M.B.E.",Social Security Minister,17/11/2011,31/12/2011,Island-wide,
Susan Jane Pinel,Social Security Minister,01/01/2016,31/12/2016,Island-wide,
Susan Jane Pinel,Social Security Minister,01/01/2015,31/12/2015,Island-wide,
Susan Jane Pinel,Social Security Minister,13/11/2014,31/12/2014,Island-wide,
"Paul Francis Routier, M.B.E.",Social Security Minister,01/01/2008,11/12/2008,Island-wide,
"Paul Francis Routier, M.B.E.",Social Security Minister,01/01/2007,31/12/2007,Island-wide,
"Paul Francis Routier, M.B.E.",Social Security Minister,01/01/2006,31/12/2006,Island-wide,
"Paul Francis Routier, M.B.E.",Social Security Minister,08/12/2005,31/12/2005,Island-wide,
Terence Augustine Le Sueur,Treasury & Resources Minister,01/01/2008,11/12/2008,Island-wide,
Terence Augustine Le Sueur,Treasury & Resources Minister,01/01/2007,31/12/2007,Island-wide,
Terence Augustine Le Sueur,Treasury & Resources Minister,01/01/2006,31/12/2006,Island-wide,
Terence Augustine Le Sueur,Treasury & Resources Minister,08/12/2005,31/12/2005,Island-wide,
Alan John Henry Maclean,Treasury & Resources Minister,01/01/2016,31/12/2016,Island-wide,
Alan John Henry Maclean,Treasury & Resources Minister,01/12/2015,31/12/2015,Island-wide,
Alan John Henry Maclean,Treasury & Resources Minister,13/11/2014,31/12/2014,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,01/12/2014,13/11/2014,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,01/01/2013,31/12/2013,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,01/01/2012,31/12/2012,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,01/01/2011,17/11/2011,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,01/01/2010,31/12/2010,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,01/01/2009,31/12/2009,Island-wide,
Philip Francis Cyril Ozouf,Treasury & Resources Minister,11/12/2008,31/12/2008,Island-wide,
